Test_Type,Temp_C,Volt_V,n_total,n_fail,n_censored,beta_shape,eta_scale_hours,MTTF_hours,hazard_interpretation
HTOL,125,4.5,80,79,1,2.0471682582819284,915.9543629587733,811.4527591236606,Increasing hazard
HTOL,125,5.0,80,80,0,2.003956899160352,861.1804219739632,763.1741311913322,Increasing hazard
HTOL,150,4.5,80,80,0,2.2240213518733776,341.34292645359926,302.31551237078264,Increasing hazard
HTOL,150,5.0,80,80,0,2.096310541011764,313.2559208742345,277.45211579759797,Increasing hazard
TC,125,0.0,80,14,66,2.488051623586194,2318.1745178987912,2056.5937437454845,Increasing hazard
